group,server_name,bandwidth_id,healthy_check_id,device_login_id
g1,"""t1""",12074,12079,12070
g1,"""55""",13092,13089,13091
g1,"""u3""",11834,11798,11789
g2,"""s1""",9266,9264,9253
g2,"""00""",8916,8913,8915
g2,"""50""",13259,11126,11128
g3,"""w1""",12014,12019,12010
g3,"""t0""",12032,12030,12033
g3,"""u8""",13073,13078,13080
g4,"""53""",12049,12054,12057
g4,"""u7""",13069,13066,13068
g4,"""20""",13114,13112,13115
g5,"""u1""",12324,12320,12323
g5,"""54""",12328,12333,12335
g5,"""t5""",12948,12953,12955
g6,"""u5""",12696,12701,12702
g6,"""t2""",12706,12711,12712
g6,"""w2""",12797,12802,12803
g7,"""u6""",12916,12913,12918
g7,"""t4""",12896,12901,12903
g7,"""58""",13200,13205,13207
g8,"""21""",13250,13255,13257
g8,"""57""",13189,13194,13196
g8,"""u9""",13126,13124,13127
g9,"""56""",13264,13269,13271
g9,"""ua""",13305,13303,13306
g9,"""t6""",13342,13347,13349
g10,"""61""",13900,13898,13901
g10,"""30""",13362,13360,13363
g10,"""w3""",13806,13811,13813
g11,"""v0""",13846,13851,13854
g11,"""60""",13878,13863,13865
g11,"""t8""",13984,13989,13991
g12,"""59""",13995,14000,14002
g12,"""31""",14006,14011,14013
g12,"""t3""",14103,14108,14110
g13,"""s3""",14171,14168,14170
g13,"""t9""",14187,14192,14194
